t,bf,pos_err,rot_err,pd_x,pd_y,pd_z,pd_ref_x,pd_ref_y,pd_ref_z,p_x,p_y,p_z,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,q_servo0,q_servo1,q_servo2,q_servo3,q_servo4,q_servo5,dq_des0,dq_des1,dq_des2,dq_des3,dq_des4,dq_des5,tau0,tau1,tau2,tau3,tau4,tau5,tau_lim0,tau_lim1,tau_lim2,tau_lim3,tau_lim4,tau_lim5
0.0,0.0,0.029948587593946797,0.07659714268455736,-0.3499479533633362,0.00010225095925725289,0.22383407328270988,-0.32,0.0,0.224,-0.349947953384862,0.00010225094092868374,0.22383407328269492,-0.327,-1.42,1.236,-1.386,-1.571,2.738,0.0,0.0,0.0,0.0,0.0,0.0,-0.327,-1.42,1.236,-1.386,-1.571,2.738,nan,nan,nan,nan,nan,nan,-1.1102230246251565e-16,-8.035536941824033,-6.268913060153579,-0.9627064734401508,-4.3287439289567146e-05,0.0,28.0,28.0,14.0,6.0,6.0,6.0
0.004,0.008,0.02994819081925364,0.07659687796562756,-0.3497083721940274,0.0001029689489617562,0.2238354006964482,-0.3200003071997379,0.00019199967232016776,0.224,-0.34994790396367903,0.00010227874762114614,0.2238340736112597,-0.327,-1.4199999999999977,1.235999999999986,-1.385999999999929,-1.571,2.738,6.6991474189788666e-15,9.265671787551412e-13,-5.55877843417214e-12,2.8290752693065866e-11,-1.4054888426810893e-14,1.1517567012583367e-14,-0.327,-1.4199999999999977,1.235999999999986,-1.385999999999929,-1.571,2.738,nan,nan,nan,nan,nan,nan,-0.0023309060898991903,-8.04340377523097,-6.269538868954137,-0.9625749797931156,-0.00019579447897964818,7.905839838745927e-06,28.0,28.0,14.0,6.0,6.0,6.0
0.008,0.016,0.029948230610275732,0.0765956555067832,-0.3494688057702557,0.00010675890196618274,0.2238367281101865,-0.3200012287958057,0.0003839973785653687,0.224,-0.3499476758795444,0.00010240781350473742,0.22383407512559889,-0.3270002129727759,-1.4200003756802662,1.2360004404769087,-1.3860000692739396,-1.5709999988377323,2.738000228200482,-8.519230096443083e-05,-0.0001502809469851883,0.00017620446239258904,-2.772196113382563e-05,4.710122841741085e-07,9.127700077802578e-05,-0.3270002129727759,-1.4200003756802662,1.2360004404769087,-1.3860000692739396,-1.5709999988377323,2.738000228200482,nan,nan,nan,nan,nan,nan,-0.004647245821946524,-8.050819838810057,-6.270129960536442,-0.962451102078571,-0.00034296026523983895,1.5426504196089984e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.012,0.024,0.02994858139252146,0.07659281635395095,-0.3492292688373065,0.00011362072389941727,0.22383805552392483,-0.32000276477876644,0.0005759911526807685,0.224,-0.3499471465929617,0.0001027097456732087,0.22383407863321947,-0.32700097225166136,-1.4200017089055097,1.236002003718717,-1.386000315301791,-1.5709999946273312,2.738001035651178,-0.00025260882366796205,-0.00044315642932159775,0.0005196280213132173,-8.182660920958396e-05,1.4256842601355772e-06,0.00026820142178802023,-0.32700097225166136,-1.4200017089055097,1.236002003718717,-1.386000315301791,-1.5709999946273312,2.738001035651178,nan,nan,nan,nan,nan,nan,-0.006948350856283732,-8.057794846991648,-6.270687710329735,-0.9623345559590232,-0.0004849486469928229,2.2571648355501846e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.016,0.032,0.029949122318616062,0.07658773475911698,-0.34898977613996196,0.00012355425747787832,0.22383938293766317,-0.32000491513289153,0.0007679790286517981,0.224,-0.3499462000240699,0.00010325435020136636,0.2238340848934546,-0.3270025995248636,-1.420004551478922,1.236005336865399,-1.3860008403109394,-1.5709999854382886,2.738002751195107,-0.0004993721130040515,-0.0008712127969675938,0.0010216012305823618,-0.00016101526036008915,2.8736997681206862e-06,0.0005252685786791846,-0.3270025995248636,-1.420004551478922,1.236005336865399,-1.3860008403109394,-1.5709999854382886,2.738002751195107,nan,nan,nan,nan,nan,nan,-0.009233569735805556,-8.06433829885443,-6.27121342795491,-0.9622250638860288,-0.0006219181289595424,2.9350900974071817e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.02,0.04,0.029949737140442963,0.07657981732182517,-0.34875034242224917,0.00013655928250793417,0.22384071035140146,-0.3200076798361614,0.0009599590405242849,0.224,-0.3499447263178965,0.00010410967500166435,0.22383409461855,-0.32700540519176435,-1.420009426210776,1.236011053146094,-1.38600174143573,-1.5709999693068932,2.738005681972869,-0.000822692860874548,-0.0014273002103930563,0.0016737599979681373,-0.0002640285790154555,4.82196325148171e-06,0.0008571005660189152,-0.32700540519176435,-1.420009426210776,1.236011053146094,-1.38600174143573,-1.5709999693068932,2.738005681972869,nan,nan,nan,nan,nan,nan,-0.011502270977549396,-8.070459486582997,-6.271708362807261,-0.962122355426595,-0.000754022098765397,3.577385428575066e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.024,0.048,0.02995031408485801,0.07656850213456373,-0.3485109824271888,0.00015263551588928483,0.2238420377651398,-0.32001105886026554,0.001151929222424585,0.224,-0.3499426216172709,0.00010534205126848037,0.22383410847440363,-0.3270096887094537,-1.4200168279519092,1.2360197330747482,-1.3860031108712323,-1.5709999442469469,2.7380101139337856,-0.0012198674866323736,-0.0021045239690479704,0.002468035349055355,-0.00038964523100786777,7.274777551993851e-06,0.0012584478638157249,-0.3270096887094537,-1.4200168279519092,1.2360197330747482,-1.3860031108712323,-1.5709999442469469,2.7380101139337856,nan,nan,nan,nan,nan,nan,-0.013753845660522682,-8.076167503373371,-6.272173709076285,-0.9620261675174128,-0.0008814090400861455,4.185005480961738e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.028,0.056,0.029950745732684428,0.07655325793229671,-0.3482717108965431,0.00017178261161931063,0.22384336517887812,-0.3200150521706028,0.001343887608579713,0.224,-0.349939787843171,0.00010701613360959104,0.2238341270810419,-0.32701573892972535,-1.4200272245932148,1.2360319256057344,-1.3860050360219622,-1.5709999082597836,2.738016312352801,-0.001688275773646332,-0.002896236117253919,0.0033966435479549193,-0.0005366806272689909,1.0234015470631326e-05,0.0017241906805119936,-0.32701573892972535,-1.4200272245932148,1.2360319256057344,-1.3860050360219622,-1.5709999082597836,2.738016312352801,nan,nan,nan,nan,nan,nan,-0.015987709559948476,-8.081471250830075,-6.2726106102539605,-0.9619362446546325,-0.0010042227328571941,4.7588994549927045e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.032,0.064,0.0299509289007316,0.07653358324719735,-0.34803254257056465,0.00019400016079838692,0.2238446925926164,-0.32001965972628166,0.0015358322333374724,0.224,-0.34993613248228095,0.00010919493895961224,0.22383415101290055,-0.327023834426754,-1.4200410580322371,1.236048149250812,-1.3860075996457362,-1.570999859343619,2.7380245223521364,-0.0022253785605947517,-0.0037960273182083685,0.00445207655787589,-0.0007039857272770657,1.3699285140135826e-05,0.002249340044820893,-0.327023834426754,-1.4200410580322371,1.236048149250812,-1.3860075996457362,-1.570999859343619,2.7380245223521364,nan,nan,nan,nan,nan,nan,-0.018203304874007342,-8.086379445894321,-6.273020163178896,-0.9618523390262733,-0.001122602441490227,5.300010267468768e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.036000000000000004,0.07200000000000001,0.029950764526616,0.07650900556936523,-0.34779349218774464,0.00021928769163616466,0.22384602000635476,-0.32002488148012076,0.001727761131186583,0.224,-0.3499315683815424,0.00011193988435701363,0.2238341807989711,-0.3270342438156693,-1.420058745107909,1.2360688931587616,-1.386010879992892,-1.570999795502251,2.738034969426708,-0.00282871548618136,-0.004797718987926168,0.005627092830370186,-0.0008904458996960864,1.76680892794496e-05,0.002829038658395458,-0.3270342438156693,-1.420058745107909,1.2360688931587616,-1.386010879992892,-1.570999795502251,2.738034969426708,nan,nan,nan,nan,nan,nan,-0.02040010158487929,-8.09090062734087,-6.27340342165965,-0.9617742105936834,-0.0012366830919793004,5.8092737659504245e-05,28.0,28.0,14.0,6.0,6.0,6.0
