t,bf,pos_err,rot_err,pd_x,pd_y,pd_z,pd_ref_x,pd_ref_y,pd_ref_z,p_x,p_y,p_z,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,q_servo0,q_servo1,q_servo2,q_servo3,q_servo4,q_servo5,dq_des0,dq_des1,dq_des2,dq_des3,dq_des4,dq_des5,tau0,tau1,tau2,tau3,tau4,tau5,tau_lim0,tau_lim1,tau_lim2,tau_lim3,tau_lim4,tau_lim5
0.0,0.0,0.029948587593946797,0.07659714268455736,-0.3499479533633362,0.00010225095925725289,0.22383407328270988,-0.32,0.0,0.224,-0.349947953384862,0.00010225094092868374,0.22383407328269492,-0.327,-1.42,1.236,-1.386,-1.571,2.738,0.0,0.0,0.0,0.0,0.0,0.0,-0.327,-1.42,1.236,-1.386,-1.571,2.738,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-8.035536941824033,-6.268913060153579,-0.9627064734401508,-4.3287439289567146e-05,0.0,28.0,28.0,14.0,6.0,6.0,6.0
0.004,0.008,0.029948178437353087,0.07659681062113367,-0.3497083721940274,0.0001029689489617562,0.2238354006964482,-0.3200003071997379,0.00019199967232016776,0.224,-0.3499478916043063,0.0001022858048672537,0.2238340739056743,-0.327,-1.4199999999999977,1.235999999999986,-1.385999999999929,-1.571,2.738,6.6991474189788666e-15,9.265671787551412e-13,-5.55877843417214e-12,2.8290752693065866e-11,-1.4054888426810893e-14,1.1517567012583367e-14,-0.3270003401910665,-1.420000598634921,1.2360006997254085,-1.3860001082139077,-1.5709999981845435,2.7380003656861547,-8.504776661513283e-05,-0.0001496587302566466,0.00017493135209945633,-2.705347697616283e-05,4.5386409693675465e-07,9.142153867456081e-05,-0.002335737800416623,-8.043389641094363,-6.269553392429599,-0.9625782970794562,-0.00019555119488357835,7.90583983939035e-06,28.0,28.0,14.0,6.0,6.0,6.0
0.008,0.016,0.0299481632933291,0.07659529178390888,-0.3494688057702557,0.00010675890196618274,0.2238367281101865,-0.3200012287958057,0.0003839973785653687,0.224,-0.3499476089262822,0.00010244611724213014,0.2238340764870295,-0.3270002667247526,-1.420000469371176,1.2360005486487584,-1.3860000848971838,-1.5709999985480732,2.738000286682982,-0.00010669389063332745,-0.0001877595135189142,0.0002194765996749071,-3.3974307799520596e-05,5.884000139438775e-07,0.00011466920117814194,-0.3270013505300351,-1.420002368499584,1.2360027711887802,-1.3860004308719303,-1.570999992822029,2.7380014406138535,-0.00025258474214994917,-0.0004424661657647328,0.0005178658429168401,-8.066450565371253e-05,1.3406286158738696e-06,0.0002687319246767444,-0.004621689419602663,-8.050712441438062,-6.270132216167784,-0.9624549889057318,-0.0003409161885699646,1.532851631138415e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.012,0.024,0.02994839349674556,0.07659180902353116,-0.3492292688373065,0.00011362072389941727,0.22383805552392483,-0.32000276477876644,0.0005759911526807685,0.224,-0.3499469603743501,0.00010281652348003911,0.22383408152718426,-0.32700120645339037,-1.420002116818325,1.23600247653876,-1.3860003851753626,-1.5709999933637826,2.738001287902785,-0.00031189079595949677,-0.000546366319101227,0.00063953673977782,-9.978676078409345e-05,1.7505409829691326e-06,0.0003316707178826426,-0.32700335070971087,-1.4200058564399003,1.2360068589000974,-1.386001072139954,-1.5709999822634284,2.7380035462329047,-0.0005000449189424651,-0.0008719850791063923,0.0010219278293005264,-0.00016031700596443385,2.6396501604542747e-06,0.0005264047628118288,-0.006863617259579001,-8.057537568285195,-6.2706540955970915,-0.962336111217325,-0.0004799740142032034,2.2301407107123812e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.016,0.032,0.029948730413318362,0.07658565164230126,-0.34898977613996196,0.00012355425747787832,0.22383938293766317,-0.32000491513289153,0.0007679790286517981,0.224,-0.34994581297455135,0.0001034767559139944,0.22383408877543406,-0.3270031961204998,-1.420005589958543,1.2360065461368688,-1.3860010236904345,-1.5709999822410032,2.7380033863336446,-0.0006087668531172268,-0.001061530835680885,0.0012442630702541643,-0.00019566537607018723,3.4642679471199186e-06,0.0006403354100984508,-0.3270066502145977,-1.4200115839892244,1.2360135802470626,-1.386002134065143,-1.5709999649412982,2.738006982058995,-0.0008248762217051471,-0.0014318873310422624,0.0016803367413246958,-0.0002654812972116143,4.33053256049712e-06,0.0008589565225358782,-0.009065811773602044,-8.063891507242989,-6.271122941265179,-0.9622213098384198,-0.0006132052828421657,2.8852325579032976e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.02,0.04,0.029949043971076797,0.07657616677677985,-0.34875034242224917,0.00013655928250793417,0.22384071035140146,-0.3200076798361614,0.0009599590405242849,0.224,-0.34994404409502516,0.00010450241633915022,0.2238340972988352,-0.3270065879922314,-1.4200114843353264,1.2360134619981176,-1.3860021169116223,-1.5709999630714075,2.7380069252172663,-0.0009915485117098575,-0.0017209958064648753,0.0020200387569460922,-0.0003201163924737427,5.7027094308610845e-06,0.001031292243401562,-0.3270115484389671,-1.4200200479070615,1.236023525996302,-1.3860037165412318,-1.5709999393689171,2.7380120259557534,-0.0012245560923592764,-0.002115979459259695,0.0024864373098159647,-0.00039561902219665916,6.393095297369308e-06,0.0012609741896612906,-0.011231462426307012,-8.069796367517029,-6.271542155271157,-0.9621102943645219,-0.0007410059930108667,3.500486219609243e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.024,0.048,0.029949211524850628,0.07656275265908924,-0.3485109824271888,0.00015263551588928483,0.2238420377651398,-0.32001105886026554,0.001151929222424585,0.224,-0.3499415401466907,0.00010596557523961062,0.22383410553967684,-0.3270117132700938,-1.4200203504315574,1.2360238786908144,-1.386003775870348,-1.5709999338588279,2.7380122128592457,-0.0014552736117577566,-0.0025140899906109866,0.0029550370630467213,-0.0004718590326717358,8.436218571088603e-06,0.0014961898291314865,-0.32701833484984855,-1.4200317207880888,1.2360372608787078,-1.3860059172885957,-1.5709999041394411,2.7380189345003036,-0.00169660272034838,-0.0029182202568493075,0.003433720601484781,-0.0005501868409615499,8.807369007021097e-06,0.0017271361375602303,-0.013362936089663583,-8.075270909309552,-6.271914740862438,-0.9620028232352184,-0.0008637073905135226,4.07793926375699e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.028,0.056,0.029949116972861494,0.07654485329577165,-0.3482717108965431,0.00017178261161931063,0.22384336517887812,-0.3200150521706028,0.001343887608579713,0.224,-0.34993819555727973,0.00010793523287158209,0.22383411136418307,-0.32701888488540765,-1.4200326991684826,1.2360384069905286,-1.386006106888041,-1.5709998927272726,2.73801952618311,-0.0019956109887277443,-0.003431390295305839,0.004038835065729382,-0.0006497761017787939,1.1633717988841318e-05,0.0020274865575865206,-0.3270272891818658,-1.4200470517175543,1.2360553242314394,-1.3860088318453827,-1.570999857925009,2.7380279434116233,-0.002238583004314094,-0.0038327323663889896,0.004515838182914468,-0.0007286391967593335,1.1553608030341155e-05,0.002252227829916267,-0.01546198609951722,-8.080331318495226,-6.272243385390001,-0.9618986924691556,-0.000981590936758192,4.619383512438845e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.032,0.064,0.029948650064269593,0.07652195421716265,-0.34803254257056465,0.00019400016079838692,0.2238446925926164,-0.32001965972628166,0.0015358322333374724,0.224,-0.3499339119526801,0.00011047767618442733,0.2238341121044358,-0.3270283996823192,-1.4200490062574755,1.2360576187628614,-1.386009212136378,-1.5709998379245589,2.738029113573832,-0.002608724124179366,-0.0044644655764899495,0.005262120880396164,-0.0008528765484079492,1.5263622318758096e-05,0.0026182923215414566,-0.3270386816541151,-1.4200664669552114,1.2360782306760825,-1.3860125535669159,-1.5709997994757567,2.7380392680259127,-0.0028481180623230384,-0.0048538094142617175,0.005726611160774986,-0.0009304303832950848,1.4612313091882464e-05,0.002831153572347171,-0.0175299093191222,-8.084991791187283,-6.27253052330522,-0.9617977271708933,-0.0010948996006584298,5.126421914827847e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.036000000000000004,0.07200000000000001,0.02994770585147618,0.07649357903633645,-0.34779349218774464,0.00021928769163616466,0.22384602000635476,-0.32002488148012076,0.001727761131186583,0.224,-0.34992859749587435,0.00011365675714178943,0.22383410459502334,-0.3270405401383151,-1.420069715680874,1.2360820508513644,-1.3860131900705022,-1.5709997678229564,2.7380411971852117,-0.003291167948302724,-0.005605681961599489,0.006616471340731579,-0.0010802670785956072,1.9294462988530813e-05,0.003262249032358479,-0.3270527732017377,-1.420090370634541,1.2361064708177356,-1.3860171736312619,-1.570999727618719,2.7380531038068443,-0.0035228869056470455,-0.0059759198323643846,0.007060035413291553,-0.0011550160865195778,1.7964259388152114e-05,0.0034589452328981367,-0.019567664182318617,-8.089264975262317,-6.272778384174558,-0.9616997751314155,-0.001203846386392106,5.6005112372054915e-05,28.0,28.0,14.0,6.0,6.0,6.0
