t,bf,pos_err,rot_err,pd_x,pd_y,pd_z,pd_ref_x,pd_ref_y,pd_ref_z,p_x,p_y,p_z,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,q_servo0,q_servo1,q_servo2,q_servo3,q_servo4,q_servo5,dq_des0,dq_des1,dq_des2,dq_des3,dq_des4,dq_des5,tau0,tau1,tau2,tau3,tau4,tau5,tau_lim0,tau_lim1,tau_lim2,tau_lim3,tau_lim4,tau_lim5
0.0,0.0,0.08101391475396542,0.07644998549310338,-0.34996036305302847,9.397950901742126e-05,0.2237746632701753,-0.3,0.0,0.16,-0.34996036305302847,9.397950901742126e-05,0.2237746632701753,-0.3270457426654261,-1.4197948614703577,1.2359423637390137,-1.3859012762652796,-1.5708702246295374,2.7381041049957275,0.0,0.00015339808305725455,-2.3968450477696024e-05,-7.190534961409867e-05,0.0003115898580290377,0.0018935076659545302,-0.3270457426501023,-1.419794277029295,1.2359422721504232,-1.385901550051761,-1.5708690380963324,2.7381113154882444,3.8309547120625426e-09,0.00014611026567375857,-2.2897147647369612e-05,-6.844662034905663e-05,0.0002966333012408832,0.001802623129192376,0.0001915567162686948,-8.038862879448233,-6.269307319112789,-0.9626910057875298,-2.963668120418289e-05,-4.071786531519296e-06,28.0,28.0,14.0,6.0,6.0,6.0
0.004,0.008,0.08099532517134925,0.07642720506922406,-0.34956068219660247,9.450767076074967e-05,0.22326446596401392,-0.30000025599978153,0.00015999972693347316,0.16,-0.34994861147558737,0.0001036761216775727,0.2237604996257607,-0.32706958452333623,-1.4197829405414026,1.235966682434082,-1.3858655134784144,-1.5708945433246058,2.7381041049957275,0.0,0.00015339808305725455,-2.3968450477696024e-05,-7.190534961409867e-05,0.0003115898580290377,0.0015339808305725455,-0.3270461321873055,-1.4197950208863426,1.2359451083417456,-1.3859035257232741,-1.5708678792550541,2.7381184544604493,-9.7384300806622e-05,-0.00018596426186656538,0.000709047830598456,-0.0004939178782376588,0.0002897103195418295,0.0017847430511952738,0.0008980471582744852,-8.043603112195697,-6.2596905900844675,-0.9606792212596187,-0.00020296777325884302,4.28417486500529e-06,28.0,28.0,14.0,6.0,6.0,6.0
0.008,0.016,0.08099512085664448,0.07642720506922406,-0.3491610136281241,9.759580192068077e-05,0.2227542686578525,-0.30000102399650475,0.0003199978154711406,0.16,-0.34994861147558737,0.0001036761216775727,0.2237604996257607,-0.32706958452333623,-1.4197829405414026,1.235966682434082,-1.3858655134784144,-1.5708945433246058,2.7381041049957275,0.0,0.00015339808305725455,-2.3968450477696024e-05,-7.190534961409867e-05,0.0003115898580290377,0.0015339808305725455,-0.3270472861704021,-1.4197982622218004,1.235953564549634,-1.385908729302136,-1.570866745894937,2.738125832433371,-0.0002884957741480866,-0.0008103338644793588,0.0021140519720659013,-0.0013008947154343506,0.0002833400292582459,0.0018444932303809459,0.0010840768447191247,-8.047004475890798,-6.249769796337755,-0.9586233449157362,-0.00038155543182778187,1.2174540967444621e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.012,0.024,0.0809949168704584,0.07642720506922406,-0.3487613696353311,0.00010324382385461852,0.2222440713516911,-0.3000023039823053,0.0004799926272339738,0.16,-0.34994861147558737,0.0001036761216775727,0.2237604996257607,-0.32706958452333623,-1.4197829405414026,1.235966682434082,-1.3858655134784144,-1.5708945433246058,2.7381041049957275,0.0,0.00015339808305725455,-2.3968450477696024e-05,-7.190534961409867e-05,0.0003115898580290377,0.0015339808305725455,-0.3270495607214135,-1.4198050982555095,1.2359701693557055,-1.3859185949400297,-1.5708656359425215,2.738133737574004,-0.0005686377528600966,-0.0017090084272996765,0.004151201517857601,-0.0024664094734297677,0.0002774881039093353,0.0019762851583217615,0.0011876735665214404,-8.050347375011407,-6.2398451503992955,-0.9565686093238688,-0.0005618148425341737,2.00649012796064e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.016,0.032,0.08098489684172916,0.07646349517598883,-0.348361762505542,0.00011145160549291174,0.22173387404552972,-0.30000409594407623,0.0006399825238764985,0.16,-0.34995464759159584,9.320733751035952e-05,0.22374321095983135,-0.327033821736471,-1.4197352568255823,1.235978603363037,-1.3858893553363245,-1.5708945433246058,2.7381041049957275,0.0,0.00015339808305725455,-2.3968450477696024e-05,-7.190534961409867e-05,0.0003115898580290377,0.001294296351261437,-0.32705331472977256,-1.419816605027179,1.235997321566144,-1.3859344892078351,-1.5708645474436924,2.7381424463170414,-0.0009385020897579482,-0.0028766929173855756,0.006788052609602669,-0.0039735669513717336,0.0002721247072711871,0.002177185759328728,0.0011498415477602662,-8.055299635203145,-6.230349143787141,-0.9545685804071502,-0.0007529235641880605,2.893213330545484e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.02,0.04,0.08098471400331772,0.07646349517598883,-0.347962204525446,0.00012221896334086726,0.22122367673936827,-0.3000063998634678,0.0007999658671035708,0.16,-0.34995464759159584,9.320733751035952e-05,0.22374321095983135,-0.327033821736471,-1.4197352568255823,1.235978603363037,-1.3858893553363245,-1.5708945433246058,2.7381041049957275,0.0,0.00015339808305725455,-2.3968450477696024e-05,-7.190534961409867e-05,0.0003115898580290377,0.001294296351261437,-0.3270588687933338,-1.41983374558143,1.236037249739684,-1.3859576776177231,-1.5708634785780968,2.738152205574963,-0.0013885158903077738,-0.004285138562767579,0.009982043385050566,-0.005797102471995171,0.00026721639890121406,0.0024398144804180567,0.0010884319873472644,-8.058522943625174,-6.220416187007185,-0.952516117301019,-0.0009365006990375052,3.6822472181972125e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.024,0.048,0.08098453146061128,0.07646349517598883,-0.3475627079808937,0.00013554566148156843,0.22071347943320688,-0.30000921571688793,0.0009599410186871542,0.16,-0.34995464759159584,9.320733751035952e-05,0.22374321095983135,-0.327033821736471,-1.4197352568255823,1.235978603363037,-1.3858893553363245,-1.5708945433246058,2.7381041049957275,0.0,0.00015339808305725455,-2.3968450477696024e-05,-7.190534961409867e-05,0.0003115898580290377,0.001294296351261437,-0.32706652795919705,-1.4198574232778456,1.2360920464917653,-1.3859893494256372,-1.570862427639347,2.7381632437590633,-0.0019147914658149065,-0.0059194241038750435,0.013699188020295192,-0.007917951978541801,0.00026273468745041016,0.002759546025061545,0.000944652900730898,-8.061686466472407,-6.2104792799886495,-0.9504648188815054,-0.0011217329739421082,4.471279624018175e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.02809623599261977,0.05619247198523954,0.08098434483452721,0.07646349517598883,-0.34715367645394746,0.00015184512883404923,0.2201910072909979,-0.30001262984388555,0.0011237548111580344,0.16,-0.34995464759159584,9.320733751035952e-05,0.22374321095983135,-0.327033821736471,-1.4197352568255823,1.235978603363037,-1.3858893553363245,-1.5708945433246058,2.7381041049957275,0.0,0.00015339808305725455,-2.3968450477696024e-05,-7.190534961409867e-05,0.0003115898580290377,0.001294296351261437,-0.3270765927153262,-1.4198885151371294,1.236163745320996,-1.3860306613309197,-1.5708613930156257,2.7381757787800107,-0.002516189032287769,-0.007772964820954575,0.017924707307647315,-0.010327976320638149,0.00025865593036307797,0.003133755236839473,0.0007120750986783185,-8.064863680800418,-6.200299172357389,-0.9483653835748542,-0.0013131312354309936,5.279293514967614e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.032096235992619765,0.06419247198523953,0.08099811065023514,0.07642662169859005,-0.3467543418541057,0.00017035114553447253,0.2196808099848365,-0.30001648178826085,0.001283708369040326,0.16,-0.34995646925436874,9.799746515460207e-05,0.22375959277195182,-0.3270457426654261,-1.4197710196124476,1.235966682434082,-1.3859012762652796,-1.5708945433246058,2.738128185272217,0.0,0.00013422331539914012,-2.3968450477696024e-05,-7.190534961409867e-05,0.0003115898580290377,0.0011025487910956144,-0.3270893324061701,-1.419927762154267,1.2362541417752115,-1.386082600158051,-1.570860373188295,2.7381899609609617,-0.0031849227109746266,-0.009811754284398178,0.022599113553927574,-0.012984706782837186,0.0002549568326450568,0.00354554523776305,0.00014751259127489044,-8.066164793192968,-6.189931968190594,-0.9462583209222827,-0.0014986410410617037,6.06309895656246e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.03680512499134056,0.07361024998268112,0.08099788563974397,0.07642662169859005,-0.34628436354361153,0.00019541537403160617,0.21908019436429638,-0.300021672309799,0.001471992286287578,0.16,-0.34995646925436874,9.799746515460207e-05,0.22375959277195182,-0.3270457426654261,-1.4197710196124476,1.235966682434082,-1.3859012762652796,-1.5708945433246058,2.738128185272217,0.0,0.00013422331539914012,-2.3968450477696024e-05,-7.190534961409867e-05,0.0003115898580290377,0.0011025487910956144,-0.3271050862032035,-1.4199761292596973,1.2363654714579846,-1.3861464422537255,-1.5708593666598014,2.738206021142455,-0.003938449258346474,-0.012091776357583808,0.02783242069326154,-0.015960523918584504,0.0002516321234305124,0.004015045373280591,-0.0003228422215721679,-8.069667837472798,-6.178219792032955,-0.943847870744171,-0.0017227247162919473,6.991958022269734e-05,28.0,28.0,14.0,6.0,6.0,6.0
