t,bf,pos_err,rot_err,pd_x,pd_y,pd_z,pd_ref_x,pd_ref_y,pd_ref_z,p_x,p_y,p_z,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,q_servo0,q_servo1,q_servo2,q_servo3,q_servo4,q_servo5,dq_des0,dq_des1,dq_des2,dq_des3,dq_des4,dq_des5,tau0,tau1,tau2,tau3,tau4,tau5,tau_lim0,tau_lim1,tau_lim2,tau_lim3,tau_lim4,tau_lim5
0.0,0.0,0.0810626705620489,0.07657830645906284,-0.34995145870536903,0.00010532890062943268,0.22384353716453823,-0.3,0.0,0.16,-0.34995145870536903,0.00010532890062943268,0.22384353716453823,-0.3269737402545374,-1.4200347105609339,1.2360267639160156,-1.3860686461078089,-1.5710504690753382,2.738044500350952,0.0,0.0,-0.0,0.0,0.0,0.0,-0.3269737402545374,-1.4200347105609339,1.2360267639160156,-1.3860686461078089,-1.5710504690753382,2.738044500350952,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-8.035141870051826,-6.268921547019916,-0.9627228078784247,-5.401381553285269e-05,0.0,28.0,28.0,14.0,6.0,6.0,6.0
0.004,0.008,0.08106246281919711,0.07657830645906284,-0.34955184908372433,0.00010576626723986499,0.2233327888672219,-0.30000025599978153,0.00015999972693347316,0.16,-0.34995145870536903,0.00010532890062943268,0.22384353716453823,-0.3269737402545374,-1.4200347105609339,1.2360267639160156,-1.3860686461078089,-1.5710504690753382,2.738044500350952,0.0,0.0,-0.0,0.0,0.0,0.0,-0.32697379116199654,-1.4200347651496157,1.236026908778729,-1.3860687367562539,-1.5710504689708424,2.7380444900923404,-1.2726864783657795e-05,-1.3647170428385875e-05,3.6215678318162366e-05,-2.2662111263693203e-05,2.6123963493260406e-08,-2.5646529071147634e-06,-0.000633830070222902,-8.034833534830343,-6.2683160167221486,-0.9626139873132076,-7.683252029088766e-05,4.5526799170675285e-07,28.0,28.0,14.0,6.0,6.0,6.0
0.008,0.016,0.08107585867074574,0.07660179463636287,-0.3491522517500272,0.0001087636032669,0.22282204056990562,-0.30000102399650475,0.0003199978154711406,0.16,-0.3499548522388154,0.00011171383543694729,0.2238581750515948,-0.3269737402545374,-1.420046631489889,1.2359905242919922,-1.3860686461078089,-1.5710743109332483,2.738020658493042,0.0,0.0,-0.0,0.0,0.0,0.0,-0.3269739317279368,-1.4200349131852144,1.2360273057215263,-1.386068983500013,-1.571050467098942,2.7380444628927787,-3.514148506743517e-05,-3.700889964464773e-05,9.923569931525274e-05,-6.168593982053723e-05,4.6797508164457363e-07,-6.799890454153247e-06,-0.0012919747810016002,-8.034291895630922,-6.267655495382792,-0.962512202924153,-0.00010460453418014934,9.28245206740822e-07,28.0,28.0,14.0,6.0,6.0,6.0
0.012,0.024,0.08107563892753224,0.07660179463636287,-0.3487526789920155,0.00011432083006794166,0.2223112922725893,-0.3000023039823053,0.0004799926272339738,0.16,-0.3499548522388154,0.00011171383543694729,0.2238581750515948,-0.3269737402545374,-1.420046631489889,1.2359905242919922,-1.3860686461078089,-1.5710743109332483,2.738020658493042,0.0,0.0,-0.0,0.0,0.0,0.0,-0.3269741905931449,-1.4200351850518917,1.2360280355988909,-1.3860694378194747,-1.5710504637956182,2.738044412580895,-6.471630202476366e-05,-6.796666936396576e-05,0.00018246934114515435,-0.00011357986542574923,8.258309414287978e-07,-1.2577970930400852e-05,-0.0019343214389725106,-8.033967946793375,-6.267048855509439,-0.9624036730448488,-0.0001274890213187447,1.3835127595088237e-06,28.0,28.0,14.0,6.0,6.0,6.0
0.016,0.032,0.08107541947559528,0.07660179463636287,-0.34835314309700766,0.0001224378165733388,0.22180054397527302,-0.30000409594407623,0.0006399825238764985,0.16,-0.3499548522388154,0.00011171383543694729,0.2238581750515948,-0.3269737402545374,-1.420046631489889,1.2359905242919922,-1.3860686461078089,-1.5710743109332483,2.738020658493042,0.0,0.0,-0.0,0.0,0.0,0.0,-0.32697458930977524,-1.420035603112781,1.2360291585531806,-1.3860701382516452,-1.5710504593129067,2.73804433445655,-9.967915758593251e-05,-0.00010451522233548898,0.00028073857244641535,-0.0001751080426401626,1.1206779114841405e-06,-1.953108630281629e-05,-0.002580909541024791,-8.033636156616025,-6.266441653430554,-0.9622952885788727,-0.00015040564072351265,1.8387797930794059e-06,28.0,28.0,14.0,6.0,6.0,6.0
0.02,0.04,0.08106841539417582,0.07661398354875577,-0.34795365635169295,0.0001331143792883982,0.22128979567795667,-0.3000063998634678,0.0007999658671035708,0.16,-0.34996087849284346,9.911729783141157e-05,0.22384470886982602,-0.3269618193255823,-1.4199984709369105,1.235978603363037,-1.3860567251788538,-1.571026627217428,2.738020658493042,0.0,0.0,-0.0,0.0,0.0,0.0,-0.3269751435084011,-1.420036186329873,1.236030721440535,-1.3860711164460138,-1.5710504570103185,2.738044226319127,-0.00013854965647463043,-0.00014580427297770915,0.000390721838630635,-0.0002445485921266677,5.756470557698271e-07,-2.7034355725553905e-05,-0.003204265197204492,-8.033946669317796,-6.2658762838869535,-0.9621796092304769,-0.00016369424438548592,2.3029142859504434e-06,28.0,28.0,14.0,6.0,6.0,6.0
0.024,0.048,0.08106822116115543,0.07661398354875577,-0.34755423104192196,0.0001463502822962033,0.2207790473806404,-0.30000921571688793,0.0009599410186871542,0.16,-0.34996087849284346,9.911729783141157e-05,0.22384470886982602,-0.3269618193255823,-1.4199984709369105,1.235978603363037,-1.3860567251788538,-1.571026627217428,2.738020658493042,0.0,0.0,-0.0,0.0,0.0,0.0,-0.3269758655824002,-1.420036945880116,1.2360327566525895,-1.3860723932457517,-1.571050456238587,2.738044085056637,-0.00018051849977462518,-0.00018988756078036617,0.000508803013582817,-0.0003191999345004969,1.9293290927727442e-07,-3.531562245239153e-05,-0.003859309769626001,-8.03359914240202,-6.265267950169966,-0.9620715153192636,-0.0001866741002867628,2.758179609229071e-06,28.0,28.0,14.0,6.0,6.0,6.0
0.028,0.056,0.0810680271867213,0.07661398354875577,-0.34715487945249646,0.00016214523726123772,0.22026829908332407,-0.3000125434755023,0.0011199063404830943,0.16,-0.34996087849284346,9.911729783141157e-05,0.22384470886982602,-0.3269618193255823,-1.4199984709369105,1.235978603363037,-1.3860567251788538,-1.571026627217428,2.738020658493042,0.0,0.0,-0.0,0.0,0.0,0.0,-0.3269767648936634,-1.4200378897175585,1.2360352879802254,-1.3860739842092835,-1.5710504565108105,2.7380439082681387,-0.00022482781578822057,-0.00023595936059665477,0.0006328319089895307,-0.0003977408829461713,-6.805586783681157e-08,-4.419712467702499e-05,-0.00451853225077702,-8.03324374567802,-6.264659051835705,-0.9619635672986397,-0.0002096839760526529,3.213443897344839e-06,28.0,28.0,14.0,6.0,6.0,6.0
0.032,0.064,0.08106783347286166,0.07661398354875577,-0.3467556138669604,0.0001804989034338142,0.21975755078600775,-0.30001638310523465,0.0012798601944478938,0.16,-0.34996087849284346,9.911729783141157e-05,0.22384470886982602,-0.3269618193255823,-1.4199984709369105,1.235978603363037,-1.3860567251788538,-1.571026627217428,2.738020658493042,0.0,0.0,-0.0,0.0,0.0,0.0,-0.3269778485288941,-1.4200390233778664,1.2360383327623434,-1.3860759009312624,-1.5710504574618602,2.7380436940875317,-0.00027090880767986834,-0.00028341507698759633,0.0007611955294981048,-0.00047918049475206847,-2.3776244757759755e-07,-5.354515179651602e-05,-0.005181911249659103,-8.032880469921917,-6.2640495880510265,-0.9618557653114885,-0.00023272316568067952,3.6687069794319857e-06,28.0,28.0,14.0,6.0,6.0,6.0
0.036000000000000004,0.07200000000000001,0.0810663056766304,0.07656627353183557,-0.3463564465673897,0.00020141088765530853,0.21924680248869147,-0.30002073456676726,0.001439800942655486,0.16,-0.349952922778269,0.00011416985395521127,0.2238495512802143,-0.32699758211244756,-1.4200347105609339,1.2360029220581055,-1.3860567251788538,-1.5710504690753382,2.738032579421997,0.0,0.0,-0.0,0.0,0.0,0.0,-0.32697912119265826,-1.4200403492340217,1.2360419023437244,-1.3860781514437666,-1.571050457233651,2.7380434385615313,-0.0003181659410397926,-0.0003314640388189318,0.0008923953452418744,-0.0005626281260083139,5.705229351444229e-08,-6.388150008931622e-05,-0.005844887438682969,-8.032054308126467,-6.263423706603235,-0.9617497555540104,-0.00026017707261144767,4.088530024193733e-06,28.0,28.0,14.0,6.0,6.0,6.0
