t,bf,pos_err,rot_err,pd_x,pd_y,pd_z,pd_ref_x,pd_ref_y,pd_ref_z,p_x,p_y,p_z,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,q_servo0,q_servo1,q_servo2,q_servo3,q_servo4,q_servo5,dq_des0,dq_des1,dq_des2,dq_des3,dq_des4,dq_des5,tau0,tau1,tau2,tau3,tau4,tau5,tau_lim0,tau_lim1,tau_lim2,tau_lim3,tau_lim4,tau_lim5
0.0,0.0,0.0999489818012003,0.076597142674355,0.35005121670219574,-0.00011017662976778818,0.34983403071868124,0.45,0.0,0.35,0.3500512167237248,-0.00011017661501148625,0.34983403071866626,-0.327,-1.42,1.236,-1.386,-1.571,2.738,0.0,0.0,0.0,0.0,0.0,0.0,-0.327,-1.42,1.236,-1.386,-1.571,2.738,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-8.035536941824033,-6.268913060153579,-0.9627064734401508,-4.3287439289567146e-05,0.0,28.0,28.0,14.0,6.0,6.0,6.0
0.004,0.008,0.09994881761351687,0.07659681060871146,0.3508508049205799,-0.00010801521891417809,0.3498353584729318,0.44999974400021847,0.00015999972693347316,0.35,0.35005142927027233,-0.00011014684545677875,0.3498340306862225,-0.327,-1.4199999999999977,1.235999999999986,-1.385999999999929,-1.571,2.738,6.69265548165997e-15,9.265290440058179e-13,-5.558634298985327e-12,2.8290522855876633e-11,-1.4191323046225102e-14,1.1511125483116732e-14,-0.3269993821593035,-1.4199979655074322,1.2359976136839705,-1.3859996556577046,-1.5709999972922355,2.738001323717521,0.0001544601741296927,0.0005086231419468071,-0.0005965790073582298,8.608557381556902e-05,6.769411176520425e-07,0.0003309293802691579,-0.0022286637940590387,-8.005053985238408,-6.266641625290773,-0.9632615483537629,0.00023464578622669254,7.90583983821007e-06,28.0,28.0,14.0,6.0,6.0,6.0
0.008,0.016,0.09994763709537718,0.07659529176668398,0.3516503808510166,-0.00010329383864396532,0.34983668622718234,0.44999897600349525,0.0003199978154711406,0.35,0.3500524017327405,-0.00011000998123878614,0.3498340307724648,-0.3269995155626448,-1.4199984048169163,1.235998128908392,-1.3859997298362463,-1.5709999979746514,2.73800103784481,0.00019378833464304968,0.0006381108083662128,-0.0007484952696452524,0.0001081185868066219,7.841305220120582e-07,0.0004151513231545967,-0.326997552267737,-1.4199919525581635,1.235990558530754,-1.385998635528513,-1.5709999892950608,2.738005238874588,0.0004574728916283767,0.0015032373171888964,-0.0017637883041557933,0.00025503229791633367,1.9992936873576623e-06,0.0009787892667576545,-0.00424993687274632,-7.976465271220069,-6.264526389109085,-0.9637857571411146,0.0004977033838560122,1.532851630642718e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.012,0.024,0.09994494076812592,0.07659180900885625,0.35244993220576776,-9.601256759974589e-05,0.3498380139814329,0.4499976960176947,0.0004799926272339738,0.35,0.35005463267881315,-0.00010969383109843608,0.34983403173383265,-0.3269978126686416,-1.4199928074698587,1.235991561369436,-1.3859987793844146,-1.5709999911864012,2.738004681686381,0.0005649364637616225,0.0018562193496047365,-0.002178149196623162,0.0003155188761265001,2.1433825424396678e-06,0.0012084977230850794,-0.3269939395692146,-1.4199801065580935,1.23597665454106,-1.3859966209465826,-1.5709999735581124,2.7380129573695506,0.0009031746306168183,0.002961500017496094,-0.0034759974234898176,0.0005036454825754298,3.934237082379312e-06,0.0019296237407226266,-0.0060784559405447375,-7.949649739061336,-6.262554395564939,-0.9642815387645925,0.0007471157184134014,2.2301407095202636e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.016,0.032,0.09994027020528827,0.07658565165401138,0.353249446697515,-8.6171536851171e-05,0.34983934173568343,0.44999590405592377,0.0006399825238764985,0.35,0.35005857922665107,-0.00010913044958656991,0.34983403486072695,-0.326994216469297,-1.4199810109246624,1.235977715195076,-1.385996770424404,-1.5709999775834727,2.73801236598209,0.0010996304349498015,0.0036052086135144835,-0.004232088682203716,0.0006147341865287923,3.933499400518395e-06,0.002348732281017534,-0.32698799644255555,-1.4199606606230548,1.2359538223547926,-1.385993305804126,-1.5709999477633956,2.7380256358234547,0.0014857816647555824,0.004861483759653126,-0.005708046566849954,0.0008287856141468175,6.448679177234919e-06,0.0031696134759654476,-0.0077266102271232335,-7.924507810069143,-6.260714379039468,-0.9647508700623795,0.0009839036329715484,2.88523255565489e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.02,0.04,0.09993320235562111,0.07657616685883623,0.3540489120395692,-7.377092989293382e-05,0.349840669489934,0.4499936001365322,0.0007999658671035708,0.35,0.35006466276103704,-0.00010825545308385779,0.34983404191060335,-0.3269881023185625,-1.4199609971459106,1.2359542153597582,-1.385993351908394,-1.5709999555859835,2.738025410885818,0.0017860752126680045,0.0058429440474660095,-0.006861565587235144,0.000999369487767633,6.0562018797464176e-06,0.0038089153996866175,-0.3269791979814781,-1.4199319335651794,1.2359200809349533,-1.3859883962550577,-1.570999909723663,2.73804437640018,0.0021996152693612,0.00718176446884613,-0.008435354959833996,0.0012273872670951202,9.50993311191873e-06,0.004685144181326149,-0.009205056893295932,-7.900956288661095,-6.258996411522694,-0.9651953775730349,0.0012089268531524932,3.500486216000818e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.024,0.048,0.09992334509763694,0.07656275287729615,0.3548483159460797,-5.8810982641950943e-05,0.3498419972441845,0.44999078428311207,0.0009599410186871542,0.35,0.3500732734121289,-0.00010700749013318237,0.34983405504548526,-0.3269788888242713,-1.4199309029753389,1.2359188659218054,-1.3859881962401757,-1.5709999239344339,2.7380450372968883,0.0026140442876897776,0.008532750964295559,-0.010024189015599502,0.0014638756460062347,8.445669816057924e-06,0.0055655070348649815,-0.326967041505074,-1.419892327636685,1.235873544950472,-1.3859816103629787,-1.5709998573790562,2.738070227824507,0.0030391191010278504,0.009901482123600931,-0.011633996120305325,0.0016964730197293184,1.308615172159413e-05,0.00646285608170728,-0.010523107739579672,-7.878924518347961,-6.257391632618735,-0.9656164212739671,0.0014229205664598292,4.077939258562059e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.028,0.056,0.09991033372683907,0.07654485373815857,0.35564764613224464,-4.129198343373875e-05,0.34984332499843507,0.4499874565244977,0.0011199063404830943,0.35,0.3500847735969489,-0.00010532782855645709,0.3498340767736892,-0.3269660324270708,-1.4198890011759338,1.2358696279411432,-1.3859809963206258,-1.5709998815830692,2.7380723786295884,0.0035745387484695757,0.011642261671617601,-0.013682587261637532,0.002003378337949188,1.1058826683619342e-05,0.0075976355077708325,-0.32695104602208275,-1.4198403261140342,1.235812421957269,-1.3859726777088393,-1.570999788792689,2.738104186541037,0.00399887074780554,0.013000380662731714,-0.015280748300783407,0.0022331635348820265,1.7146591824054456e-05,0.008489679132632499,-0.011689020815262156,-7.858351483855467,-6.255892043961201,-0.9660151575362811,0.0016265230676214177,4.6193835056206396e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.032,0.064,0.09989382815063254,0.0765219549934168,0.3564468903145202,-2.1214273017984526e-05,0.3498446527526856,0.44998361689476535,0.0012798601944478938,0.35,0.3500995008496345,-0.00010316003106215538,0.34983410989551256,-0.32694902313669666,-1.4198336853911155,1.2358046019402056,-1.385971463174259,-1.5709998276254629,2.738108490103412,0.004659528840081535,0.015142541046667459,-0.017803393248023283,0.002613548168817619,1.3868373516212944e-05,0.009886544440243332,-0.32693075166627483,-1.4197744907843468,1.2357350094519646,-1.3859613389700942,-1.5709997021456483,2.7381471979710565,0.00507358895197769,0.016458832421841013,-0.019353126326097897,0.0028346846862512785,2.1661760173406693e-05,0.010752857504838512,-0.01271022139929388,-7.839183626227785,-6.254490353225793,-0.9663925866297466,0.0018202966604667838,5.126421906540236e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.036000000000000004,0.07200000000000001,0.09987351062137649,0.07649358027674283,0.3572460362108304,1.4217554466875723e-06,0.34984598050693616,0.44997926543323274,0.001439800942655486,0.35,0.3501177701107035,-0.00010044969803825192,0.3498341574526441,-0.3269273811464598,-1.4197634580770235,1.235722013813844,-1.3859593240174914,-1.5709997612431716,2.7381543561564454,0.005861757697998506,0.019007421862997094,-0.022356473565480407,0.0032905018335763884,1.6857808588035532e-05,0.012415173808612621,-0.32690571911573646,-1.4196934593800958,1.2356396918539168,-1.3859473454804945,-1.5709995957317358,2.738200157835069,0.00625813763459824,0.020257851062739064,-0.023829399511975755,0.0034983723999209384,2.6603478158081952e-05,0.013239966003080295,-0.013593470277196826,-7.821373194953274,-6.253179856014353,-0.9667495886938469,0.0020047434738564665,5.600511227816642e-05,28.0,28.0,14.0,6.0,6.0,6.0
