t,bf,pos_err,rot_err,pd_x,pd_y,pd_z,pd_ref_x,pd_ref_y,pd_ref_z,p_x,p_y,p_z,q0,q1,q2,q3,q4,q5,dq0,dq1,dq2,dq3,dq4,dq5,q_servo0,q_servo1,q_servo2,q_servo3,q_servo4,q_servo5,dq_des0,dq_des1,dq_des2,dq_des3,dq_des4,dq_des5,tau0,tau1,tau2,tau3,tau4,tau5,tau_lim0,tau_lim1,tau_lim2,tau_lim3,tau_lim4,tau_lim5
0.0,0.0,0.029948587593946797,0.07659714268455736,-0.3499479533633362,0.00010225095925725289,0.22383407328270988,-0.32,0.0,0.224,-0.349947953384862,0.00010225094092868374,0.22383407328269492,-0.327,-1.42,1.236,-1.386,-1.571,2.738,0.0,0.0,0.0,0.0,0.0,0.0,-0.327,-1.42,1.236,-1.386,-1.571,2.738,nan,nan,nan,nan,nan,nan,-1.1102230246251565e-16,-8.035536941824033,-6.268913060153579,-0.9627064734401508,-4.3287439289567146e-05,0.0,28.0,28.0,14.0,6.0,6.0,6.0
0.004,0.008,0.02994819098845537,0.07659687796562176,-0.3497083721940274,0.0001029689489617562,0.2238354006964482,-0.3200003071997379,0.00019199967232016776,0.224,-0.34994790413377524,0.00010227873424591609,0.22383407377932926,-0.327,-1.4199999999999977,1.235999999999986,-1.385999999999929,-1.571,2.738,6.6991474189788666e-15,9.265671787551412e-13,-5.55877843417214e-12,2.8290752693065866e-11,-1.4054888426810893e-14,1.1517567012583367e-14,-0.327,-1.4199999999999977,1.235999999999986,-1.385999999999929,-1.571,2.738,nan,nan,nan,nan,nan,nan,-0.002335737800416623,-8.043389641094363,-6.269553392429599,-0.9625782970794562,-0.00019555119488357835,7.90583983939035e-06,28.0,28.0,14.0,6.0,6.0,6.0
0.008,0.016,0.029948231353634416,0.07659565550674548,-0.3494688057702557,0.00010675890196618274,0.2238367281101865,-0.3200012287958057,0.0003839973785653687,0.224,-0.34994767662646264,0.00010240775493503878,0.22383407585944554,-0.3270002126313298,-1.4200003741798262,1.2360004373794347,-1.3860000676794677,-1.5709999988425385,2.7380002285419276,-8.505570955263848e-05,-0.0001496807344894415,0.00017496540955445439,-2.7084105125604548e-05,4.6906507942925326e-07,9.141359195757162e-05,-0.3270002126313298,-1.4200003741798262,1.2360004373794347,-1.3860000676794677,-1.5709999988425385,2.7380002285419276,nan,nan,nan,nan,nan,nan,-0.004650619413618048,-8.050809232139239,-6.2701400602968,-0.9624534374917628,-0.0003427840380983017,1.5426504198683544e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.012,0.024,0.029948582785388228,0.07659281635389291,-0.3492292688373065,0.00011362072389941727,0.22383805552392483,-0.32000276477876644,0.0005759911526807685,0.224,-0.3499471479918026,0.00010270963640801659,0.2238340799878112,-0.3270009711130855,-1.4200017039228299,1.2360019934617403,-1.3860003100381308,-1.5709999946500184,2.7380010367897514,-0.00025237189126049026,-0.000442123561411646,0.0005175074804402318,-8.074146547320362e-05,1.4196328044621614e-06,0.00026843835367251073,-0.3270009711130855,-1.4200017039228299,1.2360019934617403,-1.3860003100381308,-1.5709999946500184,2.7380010367897514,nan,nan,nan,nan,nan,nan,-0.006944224759374771,-8.057804628633638,-6.270675345387056,-0.9623318148695501,-0.0004851339381219613,2.257164836140342e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.016,0.032,0.029949123567197165,0.0765877347590009,-0.34898977613996196,0.00012355425747787832,0.22383938293766317,-0.32000491513289153,0.0007679790286517981,0.224,-0.3499462012771455,0.00010325425273183199,0.22383408603606417,-0.32700259768866297,-1.4200045435314457,1.2360053206198847,-1.3860008320389756,-1.5709999855006842,2.7380027530313025,-0.0004992351880195135,-0.0008706465015553559,0.0010204779721946476,-0.00016046284784382623,2.861381925832276e-06,0.000525405502894181,-0.32700259768866297,-1.4200045435314457,1.2360053206198847,-1.3860008320389756,-1.5709999855006842,2.7380027530313025,nan,nan,nan,nan,nan,nan,-0.009216139258660033,-8.064384525774463,-6.271161434183147,-0.9622133488612139,-0.0006227440218773215,2.935090098461906e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.02,0.04,0.029949736067551386,0.07657981732165683,-0.34875034242224917,0.00013655928250793417,0.22384071035140146,-0.3200076798361614,0.0009599590405242849,0.224,-0.34994472523968545,0.00010410975845395362,0.2238340933102371,-0.3270054039477755,-1.42000942115455,1.2360110432184945,-1.3860017366152713,-1.5709999694392796,2.7380056832168496,-0.0008230119221143041,-0.0014287965433782213,0.0016769612127274195,-0.00026574073134443823,4.8013985017040045e-06,0.0008567815038437229,-0.3270054039477755,-1.42000942115455,1.2360110432184945,-1.3860017366152713,-1.5709999694392796,2.7380056832168496,nan,nan,nan,nan,nan,nan,-0.011465957312831735,-8.070557408937086,-6.271600424126245,-0.9620979590877132,-0.0007557527874483355,3.577385430233396e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.024,0.048,0.029950306640445026,0.0765685021343054,-0.3485109824271888,0.00015263551588928483,0.2238420377651398,-0.32001105886026554,0.001151929222424585,0.224,-0.34994261414455635,0.00010534262707399655,0.2238341005769728,-0.32700969113980405,-1.4200168396846153,1.236019758524711,-1.3860031246770377,-1.5709999444870524,2.7380101115034226,-0.001221145949152396,-0.0021103421848000757,0.002480266396078128,-0.00039606925028122476,7.244336524403102e-06,0.0012571694002533038,-0.32700969113980405,-1.4200168396846153,1.236019758524711,-1.3860031246770377,-1.5709999444870524,2.7380101115034226,nan,nan,nan,nan,nan,nan,-0.013693285302823904,-8.076331561820638,-6.2719943292128475,-0.961985565590468,-0.000884294304441571,4.1850054833608005e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.028,0.056,0.02995072552864029,0.07655325793181476,-0.3482717108965431,0.00017178261161931063,0.22384336517887812,-0.3200150521706028,0.001343887608579713,0.224,-0.34993976756945466,0.00010701768825539837,0.22383410608854215,-0.32701575047869413,-1.420027277625629,1.2360320375889384,-1.3860050951175167,-1.5709999086511313,2.738016300803816,-0.001691156565161409,-0.0029092662113594744,0.0034239201481076798,-0.0005509441817190947,1.0192573170121103e-05,0.0017213098878307762,-0.32701575047869413,-1.420027277625629,1.2360320375889384,-1.3860050951175167,-1.5709999086511313,2.738016300803816,nan,nan,nan,nan,nan,nan,-0.015897744152689353,-8.08171507411916,-6.272345085123559,-0.9618760892170723,-0.0010084984021948627,4.758899458278189e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.032,0.064,0.02995088676944251,0.07653358324628255,-0.34803254257056465,0.00019400016079838692,0.2238446925926164,-0.32001965972628166,0.0015358322333374724,0.224,-0.3499360902155911,0.00010919816387599901,0.2238341076067572,-0.32702386343960943,-1.4200411899326983,1.236048426096497,-1.3860077448196388,-1.5709998599332935,2.738024493339261,-0.0022306364652230314,-0.003819758702888569,0.004501659346572445,-0.0007298629487132715,1.36463586931924e-05,0.0022440821387642914,-0.32702386343960943,-1.4200411899326983,1.236048426096497,-1.3860077448196388,-1.5709998599332935,2.738024493339261,nan,nan,nan,nan,nan,nan,-0.01807897149833677,-8.086715848753133,-6.2726545539230285,-0.9617694519508937,-0.001128490846686226,5.300010271778557e-05,28.0,28.0,14.0,6.0,6.0,6.0
0.036000000000000004,0.07200000000000001,0.029950688102771048,0.0765090055675612,-0.34779349218774464,0.00021928769163616466,0.22384602000635476,-0.32002488148012076,0.001727761131186583,0.224,-0.3499314917247872,0.00011194570299570506,0.22383410242586727,-0.32703430204754375,-1.4200590088242369,1.2360694451911798,-1.3860111686625474,-1.5709997963381461,2.738034911194808,-0.0028372497521182405,-0.004836210261952812,0.005707424187702352,-0.0009323246384360953,1.760396100818699e-05,0.002820504390463852,-0.32703430204754375,-1.4200590088242369,1.2360694451911798,-1.3860111686625474,-1.5709997963381461,2.738034911194808,nan,nan,nan,nan,nan,nan,-0.020236623498793228,-8.091341608693522,-6.2729245283669055,-0.9616655771900405,-0.001244393506933603,5.8092737714221544e-05,28.0,28.0,14.0,6.0,6.0,6.0
